signature,kind,file_count,num_columns,columns,example_dataset,example_source,department
9543b2f16124,xml-element,6,10,@Geography | @North_American_Industry_Classification_System__NAICS_ | @Variables | @Unit_of_measure | @VECTOR_ID | @SCALAR_FACTOR | @NB_DECIMAL | @DGUID | @UOM | Obs,"Canadian Co-operatives, selected financial data by Province and Industry",Dataset#33100217_1.xml#Series,statcan
204380c3ecb9,xml-element,6,10,@Geography | @Co-operative_characteristics | @Variables | @Unit_of_measure | @VECTOR_ID | @SCALAR_FACTOR | @NB_DECIMAL | @DGUID | @UOM | Obs,"Canadian Co-operatives, selected financial data by categorical variables",Dataset#33100216_1.xml#Series,statcan
20beb5544060,xml-element,6,9,@Geography | @North_American_Industry_Classification_System__NAICS_ | @Industry_expenditures | @VECTOR_ID | @SCALAR_FACTOR | @NB_DECIMAL | @DGUID | @UOM | Obs,"Advertising and related services, industry expenditures",Dataset#21100034_1.xml#Series,statcan
36f72d8e8636,xml-element,6,9,@Geography | @North_American_Industry_Classification_System__NAICS_ | @Summary_statistics | @VECTOR_ID | @SCALAR_FACTOR | @NB_DECIMAL | @DGUID | @UOM | Obs,"Advertising and related services, summary statistics",Dataset#21100033_1.xml#Series,statcan
243effd5f0c4,xml-element,6,9,@Geography | @Airports | @Flight_rules_and_runway_88 | @VECTOR_ID | @SCALAR_FACTOR | @NB_DECIMAL | @DGUID | @UOM | Obs,"Itinerant movements, by flight rules and runway 88, at airports with NAV CANADA services and other selected airports, monthly",Dataset#23100299_1.xml#Series,statcan
3b8b8ec33d64,xml-element,6,9,@Geography | @Type_of_employee | @North_American_Industry_Classification_System__NAICS_ | @VECTOR_ID | @SCALAR_FACTOR | @NB_DECIMAL | @DGUID | @UOM | Obs,"Employment for agriculture and support activities, monthly, unadjusted for seasonality",Dataset#14100481_1.xml#Series,statcan
ae84682d332f,xml-element,5,9,@Geography | @Process | @Commodity | @VECTOR_ID | @SCALAR_FACTOR | @NB_DECIMAL | @DGUID | @UOM | Obs,Crushing statistics of major oilseeds,Dataset#32100352_2.xml#Series,statcan
4e25fd9e6988,xml-element,5,7,@Geography | @VECTOR_ID | @SCALAR_FACTOR | @NB_DECIMAL | @UOM | @DGUID | Obs,"Laying type pullet, chick placements",Dataset#32100134_1.xml#Series,statcan
5f8216d2a2bf,xml-element,5,9,@Geography | @Egg_production | @Estimates | @VECTOR_ID | @SCALAR_FACTOR | @NB_DECIMAL | @DGUID | @UOM | Obs,Report of processed eggs production,Dataset#32100133_1.xml#Series,statcan
57a6c69ac498,xml-element,5,9,@Geography | @Fuel_type | @Supply_and_demand_characteristics | @VECTOR_ID | @SCALAR_FACTOR | @NB_DECIMAL | @DGUID | @UOM | Obs,Consolidated Energy Statistics,Dataset#25100079_1.xml#Series,statcan
92db6b3c6a21,xml-element,5,10,@Geography | @Supply_and_disposition | @Products | @Unit_of_measure | @VECTOR_ID | @SCALAR_FACTOR | @NB_DECIMAL | @DGUID | @UOM | Obs,"Petroleum products by supply and disposition, monthly",Dataset#25100081_1.xml#Series,statcan
ff230bf0174a,xml-element,5,9,@Geography | @Supply_and_disposition | @Units_of_measure | @VECTOR_ID | @SCALAR_FACTOR | @NB_DECIMAL | @DGUID | @UOM | Obs,Supply and disposition of crude oil and equivalent,Dataset#25100063_1.xml#Series,statcan
bcd5ac4e2cdb,xml-element,5,8,@Geography | @Supply_and_disposition | @VECTOR_ID | @SCALAR_FACTOR | @NB_DECIMAL | @DGUID | @UOM | Obs,"Coal coke plant, monthly statistics",Dataset#25100045_1.xml#Series,statcan
4ee48b43b16b,xml-element,5,8,@Geography | @Electric_power__components | @VECTOR_ID | @SCALAR_FACTOR | @NB_DECIMAL | @DGUID | @UOM | Obs,"Electric power generation, monthly receipts, deliveries and availability",Dataset#25100016_1.xml#Series,statcan
4677eb0f381c,xml-element,5,9,@Geography | @Class_of_electricity_producer | @Type_of_electricity_generation | @VECTOR_ID | @SCALAR_FACTOR | @NB_DECIMAL | @DGUID | @UOM | Obs,"Electric power generation, monthly generation by type of electricity",Dataset#25100015_1.xml#Series,statcan
fcedba9764f7,xml-element,5,8,@Geography | @Central_government_operations | @VECTOR_ID | @SCALAR_FACTOR | @NB_DECIMAL | @DGUID | @UOM | Obs,"Central government operations: budgetary balance, non-budgetary transactions, and financial source/requirement",Dataset#10100133_1.xml#Series,statcan
